ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend,,
1000170,金光寺紙本著色遊行上人絵巻,下京区六条通河原町西入本塩竃町586,34.9939611,135.7643718,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000150,愛染院木造十一面観音立像,左京区岩倉幡枝町1035,35.0632859,135.7745501,,,0:00:00,0:00:00,,,,,,
1000151,安養寺木造阿弥陀如来像,中京区新京極通蛸薬師東南角東側町511,35.0057691,135.7673342,1000,1600,10:00:00,16:00:00,600,960,10,10,,
1000152,雨宝院木造千手観音立像,上京区智恵光院通上立売上る聖天町9-3,35.0325376,135.7464544,900,1700,9:00:00,17:00:00,540,1020,25,25,,
1000153,北野天満宮北野天神縁起絵巻,上京区御前通今小路上る馬喰町,35.0299253,135.735813,900,1600,9:00:00,16:00:00,540,960,20,20,,
1000183,仁和寺医心方,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,30,30,,
1000155,西芳寺絹本著色夢窓国師像,西京区松尾神ヶ谷町56,34.9919863,135.6832563,900,1600,9:00:00,16:00:00,540,960,20,20,,
1000156,三福寺地蔵菩薩像,左京区仁王門通新高倉東入正往寺町463,35.0131573,135.7771854,900,1600,9:00:00,16:00:00,540,960,20,20,,
1000158,相国寺絹本著色十六羅漢図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000159,相国寺絹本著色鳴鶴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000160,相国寺絹本墨画淡彩鳳凰図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000161,相国寺紙本墨画竹林猿猴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000169,京都国立博物館所蔵ロダン作銅造考える人,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000162,相国寺紙本墨画山水図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000163,相国寺無学祖元墨蹟,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60,,
1000164,新徳寺地蔵菩薩像,中京区壬生賀陽御所町48,35.0019758,135.7446861,,,0:00:00,0:00:00,,,,,,
1000165,善想寺石仏阿弥陀如来,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141,1000,1700,10:00:00,17:00:00,600,1020,15,15,,
1000166,善想寺地蔵菩薩像,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141,900,1700,9:00:00,17:00:00,540,1020,30,30,,
1000168,愛宕念仏寺木造千観内供坐像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000171,崇道神社金銅小野毛人墓誌,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000172,地蔵院木造地蔵菩薩坐像,右京区花園扇野町49,35.0191409,135.7156951,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000173,清浄華院絹本著色阿弥陀三尊像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000174,清浄華院紙本著色泣不動縁起,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60,,
1000175,真正極楽寺絹本著色普賢菩薩像,左京区浄土寺真如町82,35.0220237,135.7883723,900,1600,9:00:00,16:00:00,540,960,40,40,,
1000176,真正極楽寺紙本著色真如堂縁起,左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
1000177,真正極楽寺法華経,左京区浄土寺真如町82,35.0220237,135.7883723,,,0:00:00,0:00:00,,,,,,
1000178,染殿院木造地蔵菩薩立像,中京区新京極通四条上る中之町562,35.0043034,135.7672046,,,0:00:00,0:00:00,,,,,,
1000179,大興寺木造薬師如来坐像,左京区浄土寺真如町17番地,35.0230519,135.788095,,,0:00:00,0:00:00,,,,,,
