ID,0,1,2,3,4
62,1000194.0,藤森神社　紫糸威大鎧,伏見区深草鳥居崎町609,34.950598,135.7718336
63,1000195.0,峰定寺　木造金剛力士立像,左京区花背原地町772,35.1584607,135.7861724
64,1000196.0,峰定寺　木造釈迦如来立像,左京区花背原地町772,35.1584607,135.7861724
65,1000197.0,峰定寺　木造十一面千手観音坐像,左京区花背原地町772,35.1584607,135.7861724
66,1000198.0,峰定寺　木造毘沙門天立像,左京区花背原地町772,35.1584607,135.7861724
67,1000199.0,峰定寺　木造不動明王及二童子立像,左京区花背原地町722,35.1584607,135.7861724
68,1000200.0,補陀洛寺　小町老衰像,左京区静市市原町1140,35.0853004,135.7617617
69,1000201.0,補陀洛寺　三相変図,左京区静市市原町1140,35.0853004,135.7617617
70,1000202.0,佛光寺　木造聖徳太子立像,下京区高倉通仏光寺下る新開町397,35.0007636,135.762233
71,1000203.0,南岩倉明王院不動寺　空海作「石像不動明王」,下京区松原通麩屋町東入石不動之町675,34.9988789,135.7655575
72,2000027.0,貴船神社の桂,左京区鞍馬貴船町180,35.1225341,135.763198
73,2000028.0,桂春院のくろがねもち,花園妙心寺町,35.0232858,135.7207169
74,1000204.0,遍照寺　木造十一面観音立像,右京区嵯峨広沢西裏町14,35.0235914,135.689189
75,1000205.0,法観寺　紙本著色八坂塔絵図,東山区茶屋町527,34.9894576,135.7723706
76,1000206.0,法金剛院　木造地蔵菩薩立像,右京区花園扇野町49,35.0191409,135.7156951
77,1000207.0,法金剛院　木造僧形文殊坐像,右京区花園扇野町49,35.0191409,135.7156951
78,1000208.0,法輪寺　木造持国天・多聞天立像,西京区嵐山虚空蔵山町,35.0094554,135.67664
79,1000209.0,曼殊院　絹本著色不動明王像,東山区茶屋町527,34.9894576,135.7723706
80,1000210.0,曼殊院　古今和歌集,東山区茶屋町527,34.9894576,135.7723706
81,1000211.0,妙心寺　黄鐘調の鐘,右京区花園妙心寺町1,35.0213991,135.7190799
82,1000212.0,矢田寺　紙本著色矢田地蔵縁起,東山区茶屋町527,34.9894576,135.7723706
83,1000213.0,蓮光寺　駒止地蔵菩薩像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556
84,1000214.0,蓮光寺　阿弥陀如来像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556
85,1000215.0,廬山寺　絹本著色普賢十羅刹女像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324
86,1000216.0,廬山寺　慈恵大師自筆遺告,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324
87,1000217.0,廬山寺　木造如意輪観音半跏像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324
88,1000218.0,知恩院　濡髪大明神,東山区林下町400,35.0061608,135.783806
89,2000001.0,嵐山・渡月橋畔の榎,京都市右京区嵯峨天龍寺芒ノ馬場町,35.0154433,135.6745703
90,2000002.0,一言寺の梅,醍醐南里町,34.9461879,135.8152204
91,2000003.0,新日吉神宮のおがたまのき,今熊野日吉町,34.9869392,135.7790559
92,2000004.0,今宮神社のむくろじ,紫野今宮町,35.045964,135.7417344
93,2000005.0,永観堂の岩垣紅葉,浄土寺永観堂町48,35.0148592,135.7941845
94,2000008.0,大原野神社の椎,大原野春日町,34.966066,135.6456036
95,2000009.0,大原野神社の樅,大原野春日町,34.966066,135.6456036
96,2000031.0,護王神社のかりん,京都府京都市上京区小川通出水下る,35.0212004,135.7542082
97,2000011.0,御室桜,京都市右京区御室大内33,35.0293057,135.7142433
