ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend
1000198,峰定寺木造毘沙門天立像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30
1000199,峰定寺木造不動明王及二童子立像,左京区花背原地町722,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30
1000200,補陀洛寺小町老衰像,左京区静市市原町1140,35.0853004,135.7617617,900,1700,9:00:00,17:00:00,540,1020,30,30
1000201,補陀洛寺三相変図,左京区静市市原町1140,35.0853004,135.7617617,900,1700,9:00:00,17:00:00,540,1020,30,30
1000203,南岩倉明王院不動寺空海作「石像不動明王」,下京区松原通麩屋町東入石不動之町675,34.9988789,135.7655575,700,2000,7:00:00,20:00:00,420,1200,3,3
1000204,遍照寺木造十一面観音立像,右京区嵯峨広沢西裏町14,35.0235914,135.689189,1000,1600,10:00:00,16:00:00,600,960,20,20
1000205,法観寺紙本著色八坂塔絵図,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000206,法金剛院木造地蔵菩薩立像,右京区花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30
1000207,法金剛院木造僧形文殊坐像,右京区花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30
1000209,曼殊院絹本著色不動明王像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000210,曼殊院古今和歌集,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000211,妙心寺黄鐘調の鐘,右京区花園妙心寺町1,35.0213991,135.7190799,910,1640,9:10:00,16:40:00,550,1000,30,30
1000212,矢田寺紙本著色矢田地蔵縁起,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000213,蓮光寺駒止地蔵菩薩像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556,1000,1600,10:00:00,16:00:00,600,960,10,10
1000214,蓮光寺阿弥陀如来像,下京区富小路通六条下る本塩竃町534,34.994127,135.7639556,1000,1600,10:00:00,16:00:00,600,960,10,10
1000215,廬山寺絹本著色普賢十羅刹女像,上京区寺町通広小路上る北ノ辺町397,35.0245619,135.768324,1000,1600,10:00:00,16:00:00,600,960,10,10
